country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,rain_1h,rain_3h,timezone,cloud,description,region,population
NG,Alodifi,7.14,5.33,303.98,303.98,303.98,1010,57,1010,974,1.93,222,1708494876,1708537829,,,3600,61,broken clouds,Ondo,12760
NG,Alodifi,7.18,5.41,303.98,303.98,303.98,1010,57,1010,976,2.08,221,1708494858,1708537808,,,3600,60,broken clouds,Ondo,10115
NG,Owo,7.3,5.52,303.88,303.88,303.88,1010,58,1010,976,2.34,221,1708494837,1708537776,,,3600,66,broken clouds,Ondo,9139
NG,Idanre,7.02,5.22,304.43,304.43,304.43,1010,57,1010,983,1.77,224,1708494897,1708537861,,,3600,58,broken clouds,Ondo,7152
NG,Owo,7.2,5.44,303.95,303.95,303.95,1010,57,1010,976,2.14,220,1708494852,1708537800,,,3600,60,broken clouds,Ondo,6810
NG,Owo,7.15,5.48,303.97,303.97,303.97,1010,57,1010,976,2.15,221,1708494840,1708537793,,,3600,55,broken clouds,Ondo,5619
NG,Agbabu,6.41,4.65,305.23,305.23,305.23,1010,60,1010,1009,1.76,231,1708495005,1708538026,,,3600,57,broken clouds,Ondo,20300
NG,Agbabu,6.34,4.71,305.21,305.21,305.21,1010,60,1010,1009,1.9,230,1708494988,1708538015,,,3600,58,broken clouds,Ondo,21155
NG,Siluko,6.16,4.99,305.53,305.53,305.53,1010,58,1010,1009,2.02,224,1708494912,1708537956,,,3600,73,broken clouds,Ondo,22201
NG,Siluko,6.14,4.98,305.36,305.36,305.36,1010,58,1010,1008,2.1,223,1708494914,1708537959,,,3600,73,broken clouds,Ondo,22201
NG,Agbabu,6.34,4.64,304.54,304.54,304.54,1010,64,1010,1009,1.96,231,1708495005,1708538032,,,3600,61,broken clouds,Ondo,20713
NG,Agbabu,6.06,4.82,303.55,303.55,303.55,1010,69,1010,1010,2.43,224,1708494949,1708538001,,,3600,62,broken clouds,Ondo,11753
NG,Siluko,6.11,5.06,305.55,305.55,305.55,1010,57,1010,1008,2.15,222,1708494893,1708537941,,,3600,75,broken clouds,Ondo,19719
NG,Agbabu,6.12,4.8,303.96,303.96,303.96,1010,66,1010,1009,2.32,225,1708494956,1708538003,,,3600,62,broken clouds,Ondo,17455
NG,Owo,7.03,5.62,304.47,304.47,304.47,1010,57,1010,987,2.23,228,1708494801,1708537765,,,3600,60,broken clouds,Ondo,6465
NG,Alodifi,7.26,5.35,303.99,303.99,303.99,1010,57,1010,974,2.03,221,1708494876,1708537819,,,3600,67,broken clouds,Ondo,12824
NG,Emure-Ekiti,7.32,5.42,303.81,303.81,303.81,1010,57,1010,972,2.16,223,1708494862,1708537800,,,3600,70,broken clouds,Ondo,10674
NG,Ore,6.73,5.01,305.73,305.73,305.73,1010,56,1010,1002,1.53,230,1708494934,1708537925,,,3600,43,scattered clouds,Ondo,13033
NG,Ondo State,7.17,4.96,304.25,304.25,304.25,1010,57,1010,979,1.78,226,1708494966,1708537917,,,3600,48,scattered clouds,Ondo,13308
NG,Ifon,7.05,5.69,304.19,304.19,304.19,1010,58,1010,985,2.37,229,1708494785,1708537747,,,3600,69,broken clouds,Ondo,9156
NG,Ondo,6.97,4.69,305.16,305.16,305.16,1010,57,1010,995,1.61,223,1708495021,1708537991,,,3600,62,broken clouds,Ondo,8046
NG,Alodifi,7.23,5.4,303.93,303.93,303.93,1010,57,1010,974,2.1,220,1708494863,1708537808,,,3600,63,broken clouds,Ondo,10651
NG,Omuo-Ekiti,7.53,5.85,303.68,303.68,303.68,1010,57,1010,971,2.93,227,1708494769,1708537687,,,3600,79,broken clouds,Ondo,17905
NG,Siluko,6.05,4.99,305.18,305.18,305.18,1010,59,1010,1008,2.44,221,1708494907,1708537961,,,3600,75,broken clouds,Ondo,22201
NG,Siluko,6.05,4.99,305.18,305.18,305.18,1010,59,1010,1008,2.44,221,1708494907,1708537961,,,3600,75,broken clouds,Ondo,22201
NG,Omuo-Ekiti,7.63,5.88,303.51,303.51,303.51,1010,56,1010,967,2.72,230,1708494766,1708537675,,,3600,83,broken clouds,Ondo,25265
NG,Agbabu,6.26,4.68,304.35,304.35,304.35,1010,65,1010,1009,2.16,229,1708494991,1708538026,,,3600,63,broken clouds,Ondo,21796
NG,Agbabu,6.42,4.72,305.62,305.62,305.62,1010,58,1010,1008,1.64,232,1708494989,1708538009,,,3600,52,broken clouds,Ondo,18166
NG,Agbabu,6.47,4.62,305.56,305.56,305.56,1010,58,1010,1007,1.65,231,1708495015,1708538031,,,3600,57,broken clouds,Ondo,18845
NG,Agbabu,6.36,4.62,304.54,304.54,304.54,1010,64,1010,1009,1.93,231,1708495010,1708538036,,,3600,61,broken clouds,Ondo,19999
NG,Agbabu,6.26,4.68,304.35,304.35,304.35,1010,65,1010,1009,2.16,229,1708494991,1708538026,,,3600,63,broken clouds,Ondo,21796
NG,Agbabu,6.41,4.94,305.94,305.94,305.94,1010,56,1010,1007,1.57,234,1708494936,1708537956,,,3600,61,broken clouds,Ondo,20691
NG,Omuo-Ekiti,7.71,5.91,303.61,303.61,303.61,1010,56,1010,968,2.55,233,1708494763,1708537664,,,3600,86,overcast clouds,Ondo,26309
NG,Omuo-Ekiti,7.71,5.91,303.61,303.61,303.61,1010,56,1010,968,2.55,233,1708494763,1708537664,,,3600,86,overcast clouds,Ondo,26309
NG,Omuo-Ekiti,7.71,5.91,303.61,303.61,303.61,1010,56,1010,968,2.55,233,1708494763,1708537664,,,3600,86,overcast clouds,Ondo,26309
NG,Owo,7.19,5.48,303.92,303.92,303.92,1010,57,1010,976,2.19,220,1708494842,1708537791,,,3600,58,broken clouds,Ondo,4362
NG,Alodifi,7.11,5.34,304.14,304.14,304.14,1010,57,1010,977,1.93,222,1708494872,1708537828,,,3600,59,broken clouds,Ondo,11501
NG,Owo,7.26,5.49,303.75,303.75,303.75,1010,58,1010,974,2.28,219,1708494843,1708537785,,,3600,63,broken clouds,Ondo,4396
NG,Ondo State,7.22,5.09,304.2,304.2,304.2,1010,57,1010,977,1.85,225,1708494937,1708537883,,,3600,52,broken clouds,Ondo,14252
NG,Idanre,7.13,5.18,304.12,304.12,304.12,1010,57,1010,976,1.8,224,1708494911,1708537866,,,3600,59,broken clouds,Ondo,9777
